address_id,as_id,address_name,as_name,as_prefix,b_type,b_pid,a_pname,as_pname, Simillar
833,30,An Giang,An Giang,NULL,0,NULL,0,0,1
834,10,Bà Rịa - Vũng Tàu,Bà Rịa Vũng Tàu,NULL,0,NULL,0,0,1
144,28,Bắc Giang,Bắc Giang,NULL,0,NULL,0,0,1
835,62,Bắc Kạn,Bắc Kạn,NULL,0,NULL,0,0,1
836,55,Bạc Liêu,Bạc Liêu,NULL,0,NULL,0,0,1
837,17,Bắc Ninh,Bắc Ninh,NULL,0,NULL,0,0,1
838,37,Bến Tre,Bến Tre,NULL,0,NULL,0,0,1
826,25,Bình Định,Bình Định,NULL,0,NULL,0,0,1
839,4,Bình Dương,Bình Dương,NULL,0,NULL,0,0,1
840,23,Bình Phước,Bình Phước,NULL,0,NULL,0,0,1
812,13,Bình Thuận,Bình Thuận,NULL,0,NULL,0,0,1
841,39,Cà Mau,Cà Mau,NULL,0,NULL,0,0,1
806,12,Cần Thơ,Cần Thơ,NULL,0,NULL,0,0,1
842,63,Cao Bằng,Cao Bằng,NULL,0,NULL,0,0,1
129,3,Đà Nẵng,Đà Nẵng,NULL,0,NULL,0,0,1
843,11,Đắk Lắk,Đắk Lắk,NULL,0,NULL,0,0,1
844,38,Đắk Nông,Đắk Nông,NULL,0,NULL,0,0,1
845,58,Điện Biên,Điện Biên,NULL,0,NULL,0,0,1
823,5,Đồng Nai,Đồng Nai,NULL,0,NULL,0,0,1
846,47,Đồng Tháp,Đồng Tháp,NULL,0,NULL,0,0,1
847,22,Gia Lai,Gia Lai,NULL,0,NULL,0,0,1
830,61,Hà Giang,Hà Giang,NULL,0,NULL,0,0,1
807,45,Hà Nam,Hà Nam,NULL,0,NULL,0,0,1
1,2,Hà Nội,Hà Nội,NULL,0,NULL,0,0,1
848,46,Hà Tĩnh,Hà Tĩnh,NULL,0,NULL,0,0,1
805,21,Hải Dương,Hải Dương,NULL,0,NULL,0,0,1
135,7,Hải Phòng,Hải Phòng,NULL,0,NULL,0,0,1
849,53,Hậu Giang,Hậu Giang,NULL,0,NULL,0,0,1
850,29,Hòa Bình,Hòa Bình,NULL,0,NULL,0,0,1
816,24,Hưng Yên,Hưng Yên,NULL,0,NULL,0,0,1
831,6,Khánh Hòa,Khánh Hòa,NULL,0,NULL,0,0,1
851,16,Kiên Giang,Kiên Giang,NULL,0,NULL,0,0,1
852,49,Kon Tum,Kon Tum,NULL,0,NULL,0,0,1
853,59,Lai Châu,Lai Châu,NULL,0,NULL,0,0,1
854,14,Lâm Đồng,Lâm Đồng,NULL,0,NULL,0,0,1
134,60,Lạng Sơn,Lạng Sơn,NULL,0,NULL,0,0,1
808,34,Lào Cai,Lào Cai,NULL,0,NULL,0,0,1
855,8,Long An,Long An,NULL,0,NULL,0,0,1
811,35,Nam Định,Nam Định,NULL,0,NULL,0,0,1
821,20,Nghệ An,Nghệ An,NULL,0,NULL,0,0,1
856,41,Ninh Bình,Ninh Bình,NULL,0,NULL,0,0,1
857,43,Ninh Thuận,Ninh Thuận,NULL,0,NULL,0,0,1
858,42,Phú Thọ,Phú Thọ,NULL,0,NULL,0,0,1
869,44,Phú Yên,Phú Yên,NULL,0,NULL,0,0,1
818,50,Quảng Bình,Quảng Bình,NULL,0,NULL,0,0,1
859,9,Quảng Nam,Quảng Nam,NULL,0,NULL,0,0,1
860,36,Quảng Ngãi,Quảng Ngãi,NULL,0,NULL,0,0,1
819,18,Quảng Ninh,Quảng Ninh,NULL,0,NULL,0,0,1
143,51,Quảng Trị,Quảng Trị,NULL,0,NULL,0,0,1
861,48,Sóc Trăng,Sóc Trăng,NULL,0,NULL,0,0,1
130,54,Sơn La,Sơn La,NULL,0,NULL,0,0,1
862,32,Tây Ninh,Tây Ninh,NULL,0,NULL,0,0,1
863,27,Thái Bình,Thái Bình,NULL,0,NULL,0,0,1
864,33,Thái Nguyên,Thái Nguyên,NULL,0,NULL,0,0,1
865,19,Thanh Hóa,Thanh Hóa,NULL,0,NULL,0,0,1
866,15,Thừa Thiên Huế,Thừa Thiên Huế,NULL,0,NULL,0,0,1
824,26,Tiền Giang,Tiền Giang,NULL,0,NULL,0,0,1
126,1,TP Hồ Chí Minh,Hồ Chí Minh,NULL,0,NULL,0,0,1
867,52,Trà Vinh,Trà Vinh,NULL,0,NULL,0,0,1
137,57,Tuyên Quang,Tuyên Quang,NULL,0,NULL,0,0,1
868,40,Vĩnh Long,Vĩnh Long,NULL,0,NULL,0,0,1
827,31,Vĩnh Phúc,Vĩnh Phúc,NULL,0,NULL,0,0,1
132,56,Yên Bái,Yên Bái,NULL,0,NULL,0,0,1
